evidence_id,sha256,family,member,bytes,pages,occurrence_count
PD-CAB-SAIP-PDF-0161,77c8e0b8b9e28f7318c08ccfa17659e2e5d557bfbb2c4cfe88693e92bd39d056,7206/2024,7206_2024/01. 15.11.23 SOL. CLASIFICACION-CAMBIO DATOS E INICIO DE ACTIVIDAD-redacted.pdf,1116211,6,1
PD-CAB-SAIP-PDF-0162,e2f7de523e9361bbf7477e4bcbc8a5fc903c2a40786e350e8bb417e7bbd94d39,7206/2024,7206_2024/02. 22-009057 - PLANIMETRIAEGR-EGRF-redacted.pdf,993038,1,1
PD-CAB-SAIP-PDF-0163,6e5a6ae94a9a2a7ae40ca44f2bd13221d6e0f17beb92876fdb2262ea10fb5c66,7206/2024,7206_2024/03. 22-009048 - MEMORIASUNPARK08.08.22F-redacted.pdf,10844040,551,1
PD-CAB-SAIP-PDF-0164,f961c51ed07f89b34d7210b437362d03879909806375874ac93860d4d803d61a,7206/2024,7206_2024/04. 22-009049 - 01PLANEACTUALF-redacted.pdf,9405893,9,1
PD-CAB-SAIP-PDF-0165,d7d8131ea2fd4cfd75ed4d165969850c2bdf951c0c73dc060bbcfb4751282ad4,7206/2024,7206_2024/05. 22-009056 - PLANESSSUNPARKF-redacted.pdf,1929149,6,1
PD-CAB-SAIP-PDF-0166,2b774c1734ebacecff7bd7c5d85374072b65539e281bbaf2853593dfb758c9c8,7206/2024,7206_2024/06. 22-009051 - 05JUSTIFICACIONRD142-2010F-redacted.pdf,19540395,5,1
PD-CAB-SAIP-PDF-0167,edb5c70caccd81947c3c1cd3230aa76418ea10acbe33983a2acf5e7fdaee291a,7206/2024,7206_2024/07. 22-009052 - 05bUD.EXPLOTACIONF-redacted.pdf,30362014,3,1
PD-CAB-SAIP-PDF-0168,c50961c6efdcc64bca3e4a88607af116385073f677fcdc3d859ae2ed3ce7af24,7206/2024,7206_2024/08. 22-009054 - 05dINSTALACIONES2DETALLESF-redacted.pdf,10999640,7,1
PD-CAB-SAIP-PDF-0169,540da0652ec5fc7fe2b86ff9259b89d8fd219b6cc5744a3fcfe215f81ab8f17c,7206/2024,7206_2024/09. 22-009055 - 06TIPOLOGIASF-redacted.pdf,676722,10,1
PD-CAB-SAIP-PDF-0170,365de6a7f9890b133f106f9d28b4cb7a3530f98da55ee415f869498c0cc24430,7206/2024,7206_2024/0a. Portada.pdf,379288,2,1
PD-CAB-SAIP-PDF-0171,779f22cd14bd44a4571cb4d62e8d614a9e4f53186f000d5924cc7088f87d566d,7206/2024,7206_2024/0b. Indice.pdf,466206,2,1
PD-CAB-SAIP-PDF-0172,06bc9f44656aa7539ec20d18f51b500d52d93a428344ac6a9a2f8283ff3eda50,7206/2024,7206_2024/0c. Informe Ejecutivo-redacted (2).pdf,76001,1,1
PD-CAB-SAIP-PDF-0173,321d6e3f1e4c630c1583c600b5043bd2d673fe6d91c05702bff5a48d4912f04d,7206/2024,7206_2024/0c. Informe Ejecutivo.pdf,73568,1,1
PD-CAB-SAIP-PDF-0174,7a30d8391ee1400724c8e43d4c9a043329d00ea331178142b203af65e7f73f63,7206/2024,7206_2024/10. 28.02.22 CONSTITUCION NEW TREND-redacted.pdf,281492,47,1
PD-CAB-SAIP-PDF-0175,420d26d0e52e7136a514d42be4e98c90bda2655254c85f868707ce947e7dc913,7206/2024,7206_2024/11. 22-009053 - 05cINSTALACIONES1F-redacted.pdf,27171335,9,1
PD-CAB-SAIP-PDF-0176,c5c5948e796edd7dc652d8b7f1c3753d3f9f36e13f1d6a459d44c88f6c91ae2b,7206/2024,7206_2024/12. 22-009050 - 02PLANEREFF-redacted.pdf,31057189,13,1
PD-CAB-SAIP-PDF-0177,47868b372cb21d745c3393429934ac3158ddfc4555264a78f4f799fef913ae44,7206/2024,7206_2024/13. REG. TELEMATICO PRESENTACION COMUNICACION PREVIA D.RESPONSABLE H.N-redacted.pdf,2741890,12,1
PD-CAB-SAIP-PDF-0178,571bbc5a900b07bdd4cb3f2eaf5abcf4c18b4d525129ccc4ae5bba8400dd45c9,7206/2024,7206_2024/14. CFO NEW TREND VISADO.pdf,831741,2,1
PD-CAB-SAIP-PDF-0179,ddb7f40dfa367e51240a3609ad8800f40e778eb0f42728763b0b69a1d5b2524a,7206/2024,7206_2024/15. Recibo-2024-E-RE-7328-redacted.pdf,420372,3,1
PD-CAB-SAIP-PDF-0180,55572b8fcd30e0aa9d293261823a74e213f8120e504c5cebd8f21328b91fa896,7206/2024,7206_2024/16. Instancia firmada-2024-E-RE-7328-redacted.pdf,252160,4,1
PD-CAB-SAIP-PDF-0181,fbf5890dd93b2a9af998711f209b43a85dd45222346b28f91a3aa0756f8c2c9f,7206/2024,7206_2024/17. RGT.pdf,96153,1,1
PD-CAB-SAIP-PDF-0182,40d5beb86b1f8208ea52c98638b5f2cd3a6518d9ea600e1d86679e54c6ca3e5f,7206/2024,7206_2024/18. 13.02.25 ESCRITO COMUNICACION TURISTICA MYND YAIZAF-redacted.pdf,807288,2,1
PD-CAB-SAIP-PDF-0183,7ad1a7aedc6d2ef74f1f97bea8864326617e282483bc71ce353844b265480429,7206/2024,7206_2024/19. Instancia firmada-2025-E-RE-2942-redacted.pdf,238664,2,1
PD-CAB-SAIP-PDF-0184,a10a87c1ac73dc70443a5067a499b7c270c21fc0380aadcdbb02f368d1a4fb43,7206/2024,7206_2024/20. Recibo-2025-E-RE-2942-redacted.pdf,401988,2,1
PD-CAB-SAIP-PDF-0185,014093a6e01c1b0e94e0caac4e53da30b18e6ca855c57761bbbe03379eaadc3c,7206/2024,7206_2024/21. INSCRIPCION RGT.pdf,179662,1,1
PD-CAB-SAIP-PDF-0186,4aedbf38986e83d29bd092cd993dfd4d5da426e143e7d82bf47b9ff22077d53b,7206/2024,7206_2024/22. REMISION DE RGT  Y NOTIFICACION DE VISITA PENDIENTE  AL AYUNTAMIEN.pdf,160568,1,1
PD-CAB-SAIP-PDF-0187,926b09b0169a282a609d3bf669b47918fdac867defac41bfeb24947c6b0019fb,7206/2024,7206_2024/23. REMISION DE RGT Y OBTENCION DE HOJAS Y NOTIFICACION DE VISITA PEND.pdf,163908,1,1
PD-CAB-SAIP-PDF-0188,3b3629e4513b6eb8d9eaefd71a61d7ac4438e983dfd0ae4072a704297fc724ba,7206/2024,7206_2024/24. Minuta-2025-S-RC-1166.pdf,491974,2,1
PD-CAB-SAIP-PDF-0189,56d7f3e895af80f945fea5edab920bc916274efd9bae39894f12d76368f37439,7206/2024,7206_2024/25. Minuta-2025-S-RE-2404.pdf,470536,1,1
PD-CAB-SAIP-PDF-0190,45fccd200ed457cc6d4aceee8f73d6ec651ffb7aaea66d1c2ed785c03e248eed,7206/2024,7206_2024/26. Justificante de Recepcion en Punto de Acceso General 2025-S-RE-240-redacted.pdf,65476,2,1
