evidence_id,sha256,family,member,bytes,pages,occurrence_count
PD-CAB-SAIP-PDF-0056,baa393c5f360a9ef1f65e331443b65810badf19c82073efa09f51ddcfd7adaa3,3671/2022,3671_2022/01. ANEXO I - COMUNICACION ALOJAMIENTO TURISTICO.pdf,110166,2,1
PD-CAB-SAIP-PDF-0057,d9dea0cb92318dd8d01f0a4fc3ecc9915fe3d00180b46864095767462af5ef34,3671/2022,3671_2022/02. ANEXO II - LICENCIAS PARA CONSTRUCCIONES Y OBRAS.pdf,43521,1,1
PD-CAB-SAIP-PDF-0058,941ef3598f92556aa10a1d8e488a2cfa3333dedbc429eadf17ac2fe7e34f7962,3671/2022,3671_2022/03. ANEXO III - APERTURA Y CLASIFICACION-redacted.pdf,183615,4,1
PD-CAB-SAIP-PDF-0059,485939d68df06e5df410be9a326010e397f26109cebc74a3a3841e012f06ad98,3671/2022,3671_2022/04. AUTORIZACION COMUNIDAD SUN PARK-redacted.pdf,369526,1,1
PD-CAB-SAIP-PDF-0060,19bc5b36b138ae8aeb36d731de94b3c2207328642b6d1589f2354aedae78093b,3671/2022,3671_2022/05. Instancia firmada-2022-E-RE-3061-redacted.pdf,305133,3,1
PD-CAB-SAIP-PDF-0061,08b0483e514b173e904353794c5336430973fb5d4f37a39a5f488c7523ee03fa,3671/2022,3671_2022/06. Recibo-2022-E-RE-3061-redacted.pdf,399446,2,1
PD-CAB-SAIP-PDF-0062,7f67193a77bf631392e5e3523ec2deb0a6946bf0a796734825e69ed3f5223525,3671/2022,3671_2022/07. rgt.pdf,204686,2,1
PD-CAB-SAIP-PDF-0063,93519d95d2aad2cea0cd7a9db71e435bbaeedacd4d06ced958b521ea645b287d,3671/2022,3671_2022/08. informe de 11.08.15-redacted.pdf,967586,3,1
PD-CAB-SAIP-PDF-0064,9ceb8299029d59ccfdf07269045457d9c923d4ef26a3f3d8aad8c9dd1cc4020d,3671/2022,3671_2022/09. Requerimiento de documentacion para modificacion unidades-redacted.pdf,131829,2,1
PD-CAB-SAIP-PDF-0065,e121a89bbdb42060beb672bb17ee01be237781595b8ec2ade2af45d2b5ba46c3,3671/2022,3671_2022/0a. Portada.pdf,363140,1,1
PD-CAB-SAIP-PDF-0066,a03dd94d4091c2b6fc67612eb841901b5ccdfbb39cd4c2da6a5def7f70fb05b9,3671/2022,3671_2022/0b. Indice.pdf,533882,4,1
PD-CAB-SAIP-PDF-0067,36ce70249a366d5e7f6cb5eb70eacac04686037827dcca141335b1e1f3052867,3671/2022,3671_2022/0c. Informe Ejecutivo.pdf,80474,2,1
PD-CAB-SAIP-PDF-0068,bd519e932dad64364c351dada2e6d15a32b0ad29058d7ecf5dc4309aa5539f81,3671/2022,3671_2022/10. Minuta-2022-S-RE-3464-redacted.pdf,382314,1,1
PD-CAB-SAIP-PDF-0069,ceb5c3c2e0cbf9b6d372ef1ce5997c6a5aa4657a0644543a4fd510a34d5f1975,3671/2022,3671_2022/11. Justificante de Recepcion en Punto de Acceso General 2022-S-RE-346-redacted.pdf,46033,1,1
PD-CAB-SAIP-PDF-0070,3c593c65fdf3afa6965a8168d54c68269776ff3b7e9af0a58d7a73898a8968ef,3671/2022,3671_2022/12. CERT SUN PARK JUNTA 2022-21022022093719-redacted.pdf,367499,1,1
PD-CAB-SAIP-PDF-0071,a727481938948c33842a63fb8c0b0b71ce7b9ef53652c742bcfb8c3c219f422c,3671/2022,3671_2022/13. 01Punto 1Acreditacion a favor del solicitante-redacted.pdf,491038,2,1
PD-CAB-SAIP-PDF-0072,cd81f5785285b90cf76e84171eb80c967b7d0228882712d7d24e2071653ae1bc,3671/2022,3671_2022/14. 02Punto 2 Adaptacion 142.2010-redacted.pdf,6474255,57,1
PD-CAB-SAIP-PDF-0073,1971247d3cc624706caed39af700dffa69770ba6f15811f5830f4bbbfedba5e0,3671/2022,3671_2022/15. 03Punto 3Plano actualizado.pdf,1320163,3,1
PD-CAB-SAIP-PDF-0074,10b861ccf278b079b8a103dc374ba7ba9766124da14f6294ce3f128d8275d0f2,3671/2022,3671_2022/16. 04Punto 4Relacion de unidades alojativas.pdf,94059,3,1
PD-CAB-SAIP-PDF-0075,8164d444455b4c3165d72241fd9c87791adecf9f5742cf3dc1f53604036c184b,3671/2022,3671_2022/17. 05Punto 5Escrituras propiedad.pdf,35605,1,1
PD-CAB-SAIP-PDF-0076,af0aba56d084eb0ffcde0f23001ea2e8d9ce7b8f4d1c848fd6a177c957a6de87,3671/2022,3671_2022/20. 06Punto 6Contratos de mantenimiento de las instalaciones-redacted.pdf,1216817,12,1
PD-CAB-SAIP-PDF-0077,54481916dfd3474587daa79013109408dea1f820245585d03b3b1264cffaba09,3671/2022,3671_2022/21. Instancia firmada-2022-E-RE-8072-redacted.pdf,310174,2,1
