evidence_id,sha256,family,member,bytes,pages,occurrence_count
PD-CAB-SAIP-PDF-0002,a80a1142e04e608f1c2868f548d13be5cf651cbc359403cdc9b1997aab249913,2984/2023,02. HOTEL NEW TREND SL - CIF DEFINITIVO.PDF,171963,6,2
PD-CAB-SAIP-PDF-0043,13f578bb434568a56bef39effa8637e74bc4c7685057c938f787c8b456dfdc97,2984/2023,01. 16.12.22 COPIA SIMPLE ESCRITURA DE ESCISION.pdf,29691467,72,1
PD-CAB-SAIP-PDF-0044,61f82d1f106580d9fe406cf3787c634266de3fb55bd4ce4185ac7f5bb341a16d,2984/2023,03. DNI LAURA P. ACOSTA MATOS_Censurado.pdf,2443,1,1
PD-CAB-SAIP-PDF-0045,a0b82ee4c6c5cf5f25ca87eb7042a350c9375dd9075d2b12f47524cf96028ddc,2984/2023,04. S25C-923021617290.pdf,331307,2,1
PD-CAB-SAIP-PDF-0046,c26ae55ffd73cc24d32937e361a03e9ead36116b736c02b2198cd3fdae779561,2984/2023,05. 28.02.22 CONSTITUCION NEW TREND.pdf,1096133,47,1
PD-CAB-SAIP-PDF-0047,aa8db379ddf7a0fbc15361942947583f30cf8dd5b2b3e9bf0b2d362ea9e99033,2984/2023,06. Instancia firmada-2023-E-RE-3086.pdf,227760,2,1
PD-CAB-SAIP-PDF-0048,9a17f051f2cedd51385cf3a44cdef8f373b0365e08bea726abbab82ca9053fb6,2984/2023,07. Recibo-2023-E-RE-3086.pdf,380907,2,1
PD-CAB-SAIP-PDF-0049,f2b40ce6d561d7ba191823f0cef1b91ffb7584e2f4883358dfac3c67278f5e0d,2984/2023,08. RGT DE HOTEL SUN PARK.pdf,204743,2,1
PD-CAB-SAIP-PDF-0050,663a5e63dc36a3950a621614105f31314505775b5d5ada2d8fe5692d2acb8e39,2984/2023,09. Notificación Requerimiento de documentación.pdf,228567,1,1
PD-CAB-SAIP-PDF-0051,ff560bc637a48cd2fadfeacc8e01d2640771efd6323f54a0ea7b926f33ba0709,2984/2023,0a. Portada.pdf,362822,1,1
PD-CAB-SAIP-PDF-0052,799687dfbb6330ec39a1367c45fdb72f5dab47151819bbc8683476979cdb76b6,2984/2023,0b. Indice.pdf,442329,1,1
PD-CAB-SAIP-PDF-0053,1be1e06413fc935b6f1a20aed79007d804e026194dd38f30d4f05b6788e59ffd,2984/2023,0c. Informe Ejecutivo.pdf,274026,2,1
PD-CAB-SAIP-PDF-0054,e4d3bce29a028f3e13b074b5a8ec235ac13b47dbb81f499e9cfffdd559f72f31,2984/2023,10. Minuta-2023-S-RE-3572.pdf,513452,1,1
PD-CAB-SAIP-PDF-0055,8edf8caca7ef3b83161f0f30571ad24a86b1a7c89946c2eff166ebf8ccaed91a,2984/2023,11. Justificante de Recepcion en Sede electronica 2023-S-RE-3572.pdf,537266,2,1
