evidence_id,sha256,family,member,bytes,pages,occurrence_count
PD-CAB-SAIP-PDF-0001,234e69b2d7a50b8fdcbe6b82a606694fe517accd07dab68e1958a1b07bf8abe6,17070/2023,01. 1612221.pdf,20515013,72,1
PD-CAB-SAIP-PDF-0002,a80a1142e04e608f1c2868f548d13be5cf651cbc359403cdc9b1997aab249913,17070/2023,02. HOTELN1.PDF,171963,6,2
PD-CAB-SAIP-PDF-0003,40d93e8858a30f5b678487c26d74f01ae0d76c24ef47f1e91db7381d562051ee,17070/2023,03. DNI_Censurado.pdf,2443,1,1
PD-CAB-SAIP-PDF-0004,9fc73f28da893acc70c9eb5dda0605366f953d9d76df3610f6302b1dd3e0686d,17070/2023,04. 2802221.pdf,1095211,47,1
PD-CAB-SAIP-PDF-0005,c9a51a74659a217de7edc9685aa8221878f98f168f594e7fdeaab138064ad05b,17070/2023,05. COMUNI1.pdf,1150497,2,1
PD-CAB-SAIP-PDF-0006,83a3207c783dcdd9d45d579389ff17b1359f34306844ae23936cb506af325fe0,17070/2023,06. INSCRI1.PDF,232532,1,1
PD-CAB-SAIP-PDF-0007,d4dac62e1b3fcd84d8c392e11df1c1dea4fe5e7116b411f0a0fb4eb75948d696,17070/2023,07. Instancia firmada-2023-E-RE-18510.pdf,232874,2,1
PD-CAB-SAIP-PDF-0008,2ce96372f8c7c3a5bfbc8ba663667abf8cae9d5bd77b0c72ee9f52162871cb52,17070/2023,08. Recibo-2023-E-RE-18510.pdf,382718,2,1
PD-CAB-SAIP-PDF-0009,2c986eb9158fd38efcb0dbfa5abc89de90c4ee222dbd8aef55ec320dd14a3aff,17070/2023,09. Instancia firmada-2023-E-RE-18518.pdf,190387,2,1
PD-CAB-SAIP-PDF-0010,211082d4512a20df2c6d2f47a8490b9120b2975999cd4887cb196409ff2999cc,17070/2023,0a. Portada.pdf,362821,1,1
PD-CAB-SAIP-PDF-0011,44a3ab0e89b0c3441c0248293d8f7ae731c691b592aa51c68553c7b73d0213d1,17070/2023,0b. Indice.pdf,446704,1,1
PD-CAB-SAIP-PDF-0012,0151a9806b2b0d852830fdc8ffe1856b10a2c882668dead7e3b0c498c1b46b78,17070/2023,0c. Informe Ejecutivo.pdf,301250,2,1
PD-CAB-SAIP-PDF-0013,9e6b7a149d1b1be4b4b5a81f9b886c2a4622ba9b16940907948267fe48fcc68b,17070/2023,10. Recibo-2023-E-RE-18518.pdf,258883,2,1
PD-CAB-SAIP-PDF-0014,8e6979258a0a5df3be57e834559f0cd48a18fb68352fcf5113bca6a5ca3a1452,17070/2023,11. RGT ANTERIOR.pdf,100430,2,1
PD-CAB-SAIP-PDF-0015,a3f1216edcfce570cce19fe2e52b20a53b76360944baadc1b8b74cc1c8104aff,17070/2023,12. RGT MOD. DATOS.pdf,44916,1,1
PD-CAB-SAIP-PDF-0016,1553c3e3d228490d61f9a8f712dc8c5c69ccd053fb290f1a8704d8e30f00540f,17070/2023,13. MODIFICACION DE DATOS AL AYTO.pdf,162900,1,1
PD-CAB-SAIP-PDF-0017,f6aa247b9bcaae6ef474f2538f1b77a0ca6de6a0c91937a9de8210f8cfc805eb,17070/2023,14. MODIFICACION DE DATOS AL SOLICITANTE.pdf,174089,1,1
PD-CAB-SAIP-PDF-0018,6c6e6bdcfc8d44a4d0d6eb4291f3e502b6f7a6f4ee475080cb3b14c5f8646b92,17070/2023,15. Minuta-2023-S-RC-8662.pdf,475590,1,1
PD-CAB-SAIP-PDF-0019,221c0a43ab065def8a9eb5e0d941ef7108e9a0aa6aeef11e1b713ed880abb8da,17070/2023,16. Minuta-2023-S-RE-16727.pdf,163554,1,1
PD-CAB-SAIP-PDF-0020,7be620ee02664f9b234d88a81f07897d00ac17a2d9286270ebaec35ddd8b10c6,17070/2023,17. Justificante de Recepción en Sede electrónica 2023-S-RE-16727.pdf,244222,2,1
PD-CAB-SAIP-PDF-0021,fe99c743d7ac17a9a8be9e2008c0ae9ff34f025a41fb0ea1b467cd65b6b2ed8b,17070/2023,18. Justificante de Recepción en Punto de Acceso General 2023-S-RE-167.pdf,126058,1,1
